public_path	node_kind	term_hint	action_hint	source_internal	transform_kind	null_policy	status	notes
xr.process	object	BG-2	compose_object			omit_if_missing	todo	
xr.process.customizationId	value	BT-24	map_value			omit_if_missing	todo	
xr.process.profileId	value	BT-23	map_value			omit_if_missing	todo	
xr.invoice	object		compose_object			omit_if_missing	todo	
xr.invoice.id	value	BT-1	map_value			omit_if_missing	todo	
xr.invoice.issueDate	value	BT-2	map_value			omit_if_missing	todo	
xr.invoice.dueDate	value	BT-9	map_value			omit_if_missing	todo	
xr.invoice.typeCode	value	BT-3	map_value			omit_if_missing	todo	
xr.invoice.documentCurrencyCode	value	BT-5	map_value			omit_if_missing	todo	
xr.invoice.taxCurrencyCode	value	BT-6	map_value			omit_if_missing	todo	
xr.invoice.taxPointDate	value	BT-7	map_value			omit_if_missing	todo	
xr.invoice.buyerReference	value	BT-10	map_value			omit_if_missing	todo	
xr.invoice.accountingCost	value	BT-19	map_value			omit_if_missing	todo	
xr.notes[]	list	BG-1	repeat_or_group			omit_if_missing	todo	
xr.notes[].subjectCode	value	BT-21	map_value			omit_if_missing	todo	
xr.notes[].text	value	BT-22	map_value			omit_if_missing	todo	
xr.invoicePeriod	object	BT-8 plus BG-14	compose_object			omit_if_missing	todo	
xr.invoicePeriod.descriptionCode	value	BT-8	map_value			omit_if_missing	todo	
xr.invoicePeriod.startDate	value	BT-73	map_value			omit_if_missing	todo	
xr.invoicePeriod.endDate	value	BT-74	map_value			omit_if_missing	todo	
xr.projectReferenceId	value	BT-11	map_value			omit_if_missing	todo	
xr.contractReferenceId	value	BT-12	map_value			omit_if_missing	todo	
xr.receiptReferenceId	value	BT-15	map_value			omit_if_missing	todo	
xr.despatchReferenceId	value	BT-16	map_value			omit_if_missing	todo	
xr.originatorReferenceId	value	BT-17	map_value			omit_if_missing	todo	
xr.orderReference	object	BT-13, BT-14	compose_object			omit_if_missing	todo	
xr.orderReference.id	value	BT-13	map_value			omit_if_missing	todo	
